,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
526, حي الملقا ,شرقية,3,1.0,3,190,متوفر,متوفر,متوفر,علوي,0.0,لا,1300000
527, الرياض ,شمالية,3,1.0,2,104,غير متوفر,متوفر,متوفر,3,1.0,لا,715000
528, حي الربيع ,جنوبية,3,1.0,3,114,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1000000
529, حي النرجس ,غير محدد,2,2.0,3,164,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1200000
530, الرياض ,شمالية,1,1.0,2,89,متوفر,متوفر,غير متوفر,20+,9.0,نعم,1680000
531, حي الملقا ,شمالية,3,1.0,3,125,متوفر,متوفر,متوفر,علوي,8.0,لا,900000
532, حي الملقا ,جنوبية,4,2.0,4,134,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1250000
533, حي الصحافة ,غربية,4,0.0,3,171,متوفر,غير متوفر,متوفر,20+,0.0,لا,1600000
535, الرياض ,غير محدد,3,1.0,3,101,متوفر,متوفر,متوفر,علوي,1.0,لا,1400000
536, حي التعاون ,جنوبية,3,1.0,3,125,متوفر,غير متوفر,متوفر,علوي,3.0,لا,1100000
537, حي الملقا ,غير محدد,4,1.0,2,152,متوفر,غير متوفر,متوفر,3,10.0,لا,900000
538, حي النرجس ,غير محدد,3,2.0,3,167,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1200000
539, حي الملقا ,غربية,3,1.0,2,176,متوفر,متوفر,متوفر,علوي,0.0,نعم,850000
540, حي المروج ,غير محدد,2,1.0,2,120,متوفر,غير متوفر,متوفر,علوي,11.0,لا,800000
541, حي حطين ,شمالية,4,1.0,3,156,متوفر,متوفر,غير متوفر,ارضي,9.0,لا,1200000
542, حي الملقا ,غربية,3,1.0,3,143,متوفر,متوفر,متوفر,أرضي,5.0,لا,1200000
543, حي الياسمين ,جنوبية,3,1.0,4,144,متوفر,غير متوفر,متوفر,أرضي,1.0,لا,1200000
544, حي الملقا ,شمالية,3,1.0,2,139,متوفر,غير متوفر,متوفر,علوي,8.0,نعم,850000
545, حي النرجس ,غربية,2,1.0,3,100,متوفر,غير متوفر,متوفر,3,0.0,نعم,1150000
546, حي الصحافة ,غير محدد,3,1.0,3,201,متوفر,غير متوفر,متوفر,علوي,9.0,لا,1100000
